artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Scorpions,The Sails of Charon,0.006490000000000001,0.363,311867,0.802,0.0479,7,0.10800000000000001,-6.105,1,0.125,110.926,0.33899999999999997,3.78
The Gestures,"Run, Run, Run",0.127,0.244,139200,0.943,0.0,8,0.126,-3.7110000000000003,0,0.10800000000000001,167.553,0.727,3.69
The Triffids,Trick of the Light,0.0344,0.665,233320,0.762,5.23e-06,4,0.11,-7.81,1,0.0334,126.53200000000001,0.387,3.75
Kate Bush,Sunset,0.674,0.625,358573,0.439,0.0508,1,0.13,-18.303,0,0.0361,123.698,0.317,3.85
David Bowie,Hallo Spaceboy,0.000328,0.486,314507,0.9440000000000001,0.191,11,0.336,-7.721,0,0.0522,149.884,0.386,3.59
Paul Simon,Mother and Child Reunion,0.11199999999999999,0.7120000000000001,187400,0.632,0.0,9,0.0648,-7.704,1,0.0334,119.931,0.764,3.59
Adam and the Ants,Dog Eat Dog,0.013000000000000001,0.624,190187,0.8540000000000001,0.000616,0,0.331,-4.833,1,0.0421,103.89200000000001,0.7509999999999999,3.6
Thane Russal & Three,Security,0.00626,0.433,164907,0.9620000000000001,7.19e-06,2,0.0651,-4.832,1,0.0773,126.75200000000001,0.507,3.86
Madrugada,Electric,0.0716,0.426,295256,0.552,0.253,9,0.102,-6.452999999999999,0,0.0252,94.228,0.192,3.8
The Isley Brothers,For the Love of You,0.665,0.6859999999999999,339960,0.374,1.91e-05,11,0.10099999999999999,-11.029000000000002,0,0.0439,102.87899999999999,0.693,3.69
Ocean Colour Scene,The Circle,0.00147,0.504,223467,0.866,0.0682,2,0.386,-5.715,1,0.0372,124.07,0.597,3.76
Maxine Nightingale,Right Back Where We Started From,0.49,0.6920000000000001,192267,0.653,0.00707,5,0.455,-5.715,1,0.0392,148.018,0.9009999999999999,3.59
Jamie Principle,Waiting on My Angel,0.364,0.7040000000000001,247853,0.61,0.4270000000000001,0,0.0984,-12.774000000000001,1,0.0468,124.935,0.711,3.57
Mary Hopkin,Goodbye,0.405,0.435,146507,0.467,0.000218,1,0.105,-11.458,0,0.0374,179.717,0.78,3.67
Sparks,When Do I Get to Sing 'My Way',0.0283,0.6679999999999999,277120,0.675,4.11e-05,4,0.17300000000000001,-11.789000000000001,0,0.0395,122.994,0.43799999999999994,3.65
The Waitresses,Christmas Wrapping,0.0526,0.73,320800,0.5479999999999999,0.0,9,0.0425,-14.772,1,0.091,115.60700000000001,0.813,3.61
Bladee,Psycho,0.0338,0.6409999999999999,207818,0.703,8.21e-06,8,0.0873,-6.64,0,0.115,133.99200000000002,0.501,3.67
Prefab Sprout,We Let the Stars Go,0.391,0.469,214560,0.48200000000000004,0.0,7,0.151,-9.529,1,0.0359,184.321,0.516,3.7
Jessie Ware,Overtime,0.00526,0.687,277417,0.8240000000000001,0.102,8,0.0559,-4.166,1,0.0396,115.009,0.8370000000000001,3.65
J.J. Cale,Cajun Moon,0.45,0.805,131827,0.547,0.16,1,0.158,-15.34,1,0.0419,102.413,0.7509999999999999,3.91
Temples,Shelter Song,0.000212,0.491,190558,0.899,8.52e-05,9,0.16699999999999998,-3.315,1,0.0373,126.061,0.537,3.63
The Association,Along Comes Mary,0.0883,0.584,171000,0.62,1.73e-06,7,0.187,-7.681,1,0.0513,143.561,0.857,3.65
Sunnyboys,Alone With You,6.29e-05,0.446,238200,0.615,0.0001,4,0.267,-15.899000000000001,0,0.0294,147.534,0.532,3.82
Procol Harum,Homburg,0.0973,0.361,237400,0.6579999999999999,0.047,10,0.0636,-7.893,1,0.0313,142.24200000000005,0.375,3.62
Grizzly Bear,Gun-Shy,0.301,0.753,270666,0.5820000000000001,0.000134,6,0.0776,-8.482000000000001,0,0.0395,117.04700000000001,0.595,3.62
The Dukes of Stratosphear,Vanishing Girl,0.0412,0.561,179800,0.8170000000000001,0.0,9,0.303,-4.671,1,0.0371,132.231,0.366,3.93
Bone Thugs-N-Harmony,Thuggish Ruggish Bone,0.00228,0.6829999999999999,281773,0.74,0.0,11,0.23800000000000002,-6.041,0,0.0462,129.515,0.65,3.61
