,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
255,Lil Wayne,Love Me,18 January ,1.89,0.674,0.608,8,-6.628,0,0.0334,0.0119,0.0,0.103,0.464,124.952,253440
256,Imagine Dragons,Demons,28 January ,2.16,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200
257,Luke Bryan,Drink a Beer,11 November ,1.71,0.483,0.431,8,-7.656,1,0.0343,0.836,5.19e-05,0.199,0.296,78.26,202627
258,Olly Murs,Dear Darlin',24 May ,1.99,0.512,0.817,11,-4.735,0,0.0465,0.00604,6.3e-06,0.114,0.332,124.044,206773
259,Bullet for My Valentine,Riot,15 January ,1.8,0.577,0.959,10,-4.229,0,0.0539,0.0011,0.00181,0.369,0.72,95.024,169307
260,Iggy Azalea,Bounce,26 April ,2.19,0.867,0.773,1,-5.429,0,0.275,0.0109,0.0,0.0913,0.734,105.933,222427
261,Jay-Z,Holy Grail,4 July ,2.25,0.675,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.08,338413
262,Eliza,Big When I Was Little,28 July ,2.07,0.536,0.88,0,-3.686,1,0.0865,0.0217,0.0,0.386,0.795,170.086,229199
263,Jason Derulo,The Other Side,16 April ,2.26,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,226987
264,Borgore,Decisions,8 February ,1.79,0.565,0.934,7,-1.576,0,0.0613,0.00361,2.29e-06,0.295,0.634,139.941,198857
265,Eminem,Survival,14 August ,2.31,0.459,0.899,2,-2.978,1,0.21,0.0038,0.0,0.126,0.437,176.384,272417
266,will.i.am,Bang Bang,June ,2.06,0.805,0.657,7,-7.643,1,0.108,0.0249,2.27e-05,0.0391,0.716,124.944,279067
267,Florida Georgia Line,Round Here,3 June ,1.91,0.523,0.954,1,-3.051,1,0.0374,0.00385,1.65e-06,0.243,0.901,141.982,215120
268,Macklemore & Ryan Lewis,White Walls,8 October ,2.44,0.767,0.782,7,-5.545,1,0.14,0.0541,0.0,0.338,0.827,116.491,220319
269,The Wanted,We Own the Night,11 August ,1.86,0.553,0.937,11,-4.056,1,0.12,0.00559,0.0,0.363,0.548,103.97,205400
270,Drake,Started From the Bottom,6 February ,2.54,0.794,0.522,8,-7.829,1,0.159,0.0328,0.0,0.156,0.567,86.318,174133
271,Katy Perry,Dark Horse,17 September ,2.53,0.645,0.585,6,-6.122,1,0.0513,0.00314,0.0,0.165,0.353,131.931,215672
272,Alyona Lanskaya,Solayoh,4 March ,2.18,0.81,0.91,11,-5.104,0,0.0468,0.0198,0.00284,0.282,0.602,94.983,179827
273,Taylor Swift,22,1 April ,2.54,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133
274,Fauve,Voyou,10 October ,1.65,0.596,0.832,10,-3.488,0,0.286,0.397,0.0,0.29,0.527,108.838,378360
275,A$AP Rocky,Wild for the Night,15 January ,2.59,0.759,0.849,2,-4.234,1,0.335,0.0483,0.0,0.121,0.681,140.001,212640
276,Daughtry,Waiting for Superman,17 September ,2.11,0.558,0.667,0,-6.041,1,0.0265,0.00276,0.0,0.0641,0.402,105.991,267333
277,Little Mix,Change Your Life,3 February ,2.35,0.514,0.756,6,-4.011,0,0.0406,0.0786,0.0,0.359,0.361,160.11,201587
278,Conor Maynard,R U Crazy,4 October ,1.77,0.546,0.586,7,-4.211,1,0.272,0.0699,0.0,0.109,0.819,89.089,207666
279,Skillet,Sick of It,8 April ,2.17,0.629,0.933,8,-3.051,1,0.0693,0.00389,0.0,0.114,0.589,127.0,190360
280,Enrique Iglesias,Heart Attack,8 October ,1.98,0.427,0.895,4,-4.059,1,0.109,0.0717,0.0,0.409,0.414,154.048,170147
281,Parmalee,Carolina,22 January ,1.9,0.434,0.75,10,-3.53,1,0.0293,0.0107,0.0,0.106,0.488,159.824,201347
282,The Saturdays,Gentleman,30 June ,2.19,0.736,0.971,11,-2.369,0,0.158,0.108,1.53e-05,0.286,0.798,133.004,220378
