track,artist,date,rating
b'Red Guitar / Forbidden Colours (Version)',b'David Sylvian',2 June 1984 ,3.81
"b'Past, Present and Future / Paradise'",b'The Shangri-Las',August 1966 ,3.82
"b""Fireball / Demon's Eye""",b'Deep Purple',29 October 1971 ,3.86
,,,
b'1979 / Bullet With Butterfly Wings',b'The Smashing Pumpkins',1996,4.24
"b""Boys Don't Cry (New Voice - New Mix)""",b'The Cure',1986,3.93
b'Instant Street [CD1]',b'dEUS',1999,3.88
b'Grip / London Lady',b'The Stranglers',28 January 1977 ,3.85
b'De-Luxe',b'Lush',1990,3.87
b'Tell Me Something Good / Tops Drop',b'DJ Screw',30 November 2013 ,3.88
b'Black and White / Soul Kiss',"b""The dB's""",24 January 1980 ,3.83
,,,
b'Holy Ghost / Monster',b'The Bar-Kays',1978,3.87
b'You Let My Tyres Down / Back to the Wall',b'Tropical Fuck Storm',30 January 2018 ,3.86
b'I Second That Emotion / You Must Be Love',b'Smokey Robinson and The Miracles',19 October 1967 ,3.87
"b""I'll Take Care of You / That's Why""",b'Bobby Bland',November 1959 ,3.88
"b""I Just Don't Know What to Do With Myself / My Colouring Book""",b'Dusty Springfield',June 1964 ,3.88
b'When Love Breaks Down / Diana',b'Prefab Sprout',1984,3.88
b'River of Deceit',b'Mad Season',27 March 1995 ,3.83
,,,
b'But Not Tonight (Remix) / Stripped',b'Depeche Mode',22 October 1986 ,3.85
b'Overtime (Live Band Session)',b'KNOWER',29 August 2017 ,3.94
b'Be',b'Common',2005,4.12
b'Not Dark Yet',b'Bob Dylan',February 1998 ,3.83
b'New Paths to Helicon',b'Mogwai',February 1997 ,3.85
b'Amsterdam / Jacky',b'Jacques Brel',1973,3.87
"b'Chelsea Morning / Both Sides, Now'",b'Joni Mitchell',August 1969 ,3.86
,,,
b'Respiration',b'Black Star',23 February 1999 ,3.83
b'Pillars',b'Sunny Day Real Estate',1998,3.87
b'Message to My Girl / Kia Kaha (Ever Be Strong)',b'Split Enz',January 1984 ,3.89
b'The Toy Trumpet / Powerhouse',b'The Raymond Scott Quintette',April 1937 ,3.87
b'Slide Away',b'Verve',20 September 1993 ,3.87
,,,
,,,
b'You and Me Song',b'The Wannadies',1996,3.86
b'Destroy the Heart / Blind',b'The House of Love',August 1988 ,3.85
b'Light My Fire (Edit) / People Are Strange',b'The Doors',1991,3.97
b'Burn / Coronarias Redig',b'Deep Purple',March 1974 ,3.83
